LGBM,GBDT,ET,RF,XGBoost,voting_clf,stacking
0.9986016743651227,0.9437302812094059,0.91,0.87,0.99305725,0.9672196417805617,0.9959224578551054
0.9544120177022947,0.8101788297156466,0.58,0.62,0.99360764,0.8426732193229044,0.9959224578551054
0.4247401781823056,0.3577167733590025,0.47,0.46,0.5705401,0.4884267495720193,0.2854728849659851
0.9974693554223182,0.949421093759196,0.68,0.81,0.99936336,0.8922775727371576,0.9959224578551054
0.9951722754652677,0.9235840947996454,0.79,0.88,0.99758625,0.9275861752568145,0.9959224578551054
0.7561159415014641,0.8431338014158464,0.72,0.63,0.955617,0.8105776506982928,0.9959224578551054
0.9981849788190325,0.9693237603459759,0.76,0.82,0.99730957,0.918498181454387,0.9959224578551054
0.8615303369211308,0.7257053235505764,0.6,0.49,0.5777154,0.6797485779340781,0.9959224578551054
0.8881047263708258,0.9066716893061253,0.57,0.51,0.93034756,0.7961507627356895,0.9959224578551054
0.9928960999645375,0.77280443214862,0.74,0.74,0.99588627,0.9095941220653581,0.9959224578551054
0.9977744112872864,0.9480068972201721,0.81,0.78,0.99806994,0.9352814510949381,0.9959224578551054
0.23944938800929538,0.42136980319135386,0.7,0.61,0.4349825,0.4581439654767465,0.010452549156887283
0.6975511311194299,0.5219268274219193,0.7,0.57,0.5925424,0.6633645136720935,0.9959224578551054
0.45688117971537806,0.39788063721317257,0.57,0.59,0.29528743,0.4407228700005952,0.010452549156887283
0.9944859354263543,0.8667760852546784,0.66,0.79,0.9934409,0.882642287167112,0.9959224578551054
0.9985613393822824,0.9423027303939125,0.73,0.75,0.9970771,0.9085461489372623,0.9959224578551054
0.851891509735822,0.8560437090855544,0.61,0.51,0.9644395,0.8087770070116518,0.9959224578551054
0.8253221828114755,0.7810449895135437,0.46,0.53,0.9091892,0.7315038023515466,0.9959224578551054
0.9914081974877412,0.9524240129144015,0.72,0.74,0.9996518,0.9036866623843212,0.9959224578551054
0.9811837958263259,0.8496762399400684,0.6,0.54,0.9424911,0.8412249699886276,0.9959224578551054
0.968971161345453,0.9339609416593492,0.68,0.67,0.9962936,0.8817549219064617,0.9959224578551054
0.9806436470037845,0.7630820689686548,0.79,0.89,0.9364719,0.9023718421620179,0.9959224578551054
0.5966685917794552,0.2779357674790183,0.62,0.58,0.4972171,0.5712952269057382,0.2854728849659851
0.7737378405688211,0.5255663150173137,0.69,0.59,0.77839154,0.7473764602064424,0.9959224578551054
0.5257085254947965,0.8849145896174587,0.49,0.55,0.90247375,0.6393940910750172,0.9959224578551054
0.9987154954735644,0.925658949183709,0.92,0.84,0.9957283,0.9714812697988154,0.9959224578551054
0.9930564202703844,0.8363089843588543,0.64,0.72,0.9992016,0.8774193386845394,0.9959224578551054
0.9294661538076354,0.9102077234577352,0.77,0.78,0.99373263,0.8977329283380492,0.9959224578551054
0.964184357760264,0.7841394102707318,0.69,0.7,0.99253756,0.8822406386130099,0.9959224578551054
0.9744397405910157,0.9101285177736976,0.83,0.71,0.954822,0.9197539148108053,0.9959224578551054
0.9963038468515371,0.9239688085216702,0.82,0.81,0.9943704,0.9368914159190487,0.9959224578551054
0.941043506146993,0.8463489375990089,0.58,0.59,0.9792986,0.8334473659202541,0.9959224578551054
0.9957445652012875,0.9001531393298906,0.66,0.66,0.99336606,0.8830368759474773,0.9959224578551054
0.9675179386625418,0.8781507486729051,0.49,0.54,0.9248423,0.7941200788977983,0.9959224578551054
0.9996508343434242,0.9782391315426328,0.81,0.89,0.9993845,0.9363451189271578,0.9959224578551054
0.2419502191611297,0.11247523291045575,0.52,0.47,0.16462699,0.3088590683164917,0.010452549156887283
0.9992874148592482,0.9737650487256793,0.63,0.7,0.9980453,0.8757775800461612,0.9959224578551054
0.9984527294471178,0.941997753879162,0.73,0.72,0.9980509,0.9088345525209874,0.9959224578551054
0.9922800582382629,0.8902525876465935,0.7,0.69,0.9831156,0.8917985572329346,0.9959224578551054
0.43738374302084626,0.7165290591520744,0.64,0.61,0.79851615,0.6252999657700307,0.8659073658210803
0.9940361931515725,0.8721343228647446,0.84,0.74,0.99647933,0.9435051751995415,0.9959224578551054
0.8207787088812116,0.477185187528363,0.5,0.47,0.76090527,0.6938946582297724,0.9379324160359819
0.7779308821272823,0.6108480980992912,0.51,0.47,0.5485513,0.6121607343856484,0.9959224578551054
0.9980921265240378,0.9066576104641997,0.77,0.85,0.99498343,0.9210251870670539,0.9959224578551054
0.20805463068468572,0.2834588467419402,0.35,0.43,0.70632917,0.42146126585795884,0.2854728849659851
0.9551381839903543,0.5481965968557055,0.55,0.49,0.95982516,0.8216544473698519,0.9959224578551054
0.9980288482489615,0.9622227192543567,0.75,0.71,0.99838436,0.9154710682492265,0.9959224578551054
