0,1,2,3,4,5,6,7,8,9,10,11
0.00830336194485426,0.0,0.08,0.0,0.1,0.0,0.0005640193121507764,0.0,0.07,0.0,0.11,0.0
0.0041764709167182446,0.0,0.41,0.0,0.33,0.0,0.005638974718749523,0.0,0.38,0.0,0.24,0.0
0.053418733179569244,0.0,0.17,0.0,0.15,0.0,0.046855051070451736,0.0,0.29,0.0,0.27,0.0
0.5653951168060303,1.0,0.28,0.0,0.13,0.0,0.8644943833351135,1.0,0.65,1.0,0.56,1.0
9.920881711877882e-05,0.0,0.0,0.0,0.01,0.0,0.00014785975508857518,0.0,0.0,0.0,0.0,0.0
0.07374276965856552,0.0,0.13,0.0,0.16,0.0,0.18239116668701172,0.0,0.12,0.0,0.22,0.0
0.002965844701975584,0.0,0.22,0.0,0.21,0.0,0.003883104072883725,0.0,0.13,0.0,0.13,0.0
0.031404078006744385,0.0,0.17,0.0,0.2,0.0,0.029183626174926758,0.0,0.14,0.0,0.24,0.0
0.03483179211616516,0.0,0.13,0.0,0.15,0.0,0.010978049598634243,0.0,0.05,0.0,0.08,0.0
0.027607988566160202,0.0,0.11,0.0,0.07,0.0,0.011514279991388321,0.0,0.1,0.0,0.04,0.0
0.045663949102163315,0.0,0.09,0.0,0.11,0.0,0.032984647899866104,0.0,0.38,0.0,0.24,0.0
0.0003447859489824623,0.0,0.0,0.0,0.0,0.0,0.0004069342976436019,0.0,0.0,0.0,0.01,0.0
0.516071081161499,1.0,0.45,0.0,0.47,0.0,0.7900240421295166,1.0,0.63,1.0,0.32,0.0
0.02647189423441887,0.0,0.06,0.0,0.1,0.0,0.05416092649102211,0.0,0.27,0.0,0.26,0.0
0.00623287120833993,0.0,0.23,0.0,0.2,0.0,0.04301225021481514,0.0,0.32,0.0,0.31,0.0
0.0067519862204790115,0.0,0.05,0.0,0.04,0.0,0.0018898992566391826,0.0,0.08,0.0,0.09,0.0
0.00018136206199415028,0.0,0.01,0.0,0.02,0.0,0.00047389927203767,0.0,0.04,0.0,0.02,0.0
0.014255530200898647,0.0,0.1,0.0,0.04,0.0,0.0076897903345525265,0.0,0.13,0.0,0.01,0.0
0.011187062598764896,0.0,0.32,0.0,0.12,0.0,0.023576099425554276,0.0,0.36,0.0,0.2,0.0
