0,1,2,3,4,5
0.0018685945542529225,0.16,0.12,0.000536749663297087,0.15,0.21
0.42093250155448914,0.48,0.35,0.32782894372940063,0.35,0.35
0.0001788752560969442,0.0,0.0,0.00043930718675255775,0.02,0.02
0.7267714142799377,0.45,0.36,0.40444669127464294,0.32,0.23
0.011834525503218174,0.14,0.2,0.06253629922866821,0.4,0.35
0.06209369748830795,0.22,0.09,0.007585302926599979,0.16,0.14
0.006362331565469503,0.06,0.03,0.0009668777347542346,0.01,0.02
8.816703484626487e-05,0.05,0.02,0.0011977878166362643,0.08,0.01
0.0008206027559936047,0.0,0.0,0.0003291539615020156,0.0,0.0
0.0009443950257264078,0.03,0.03,0.0004904853412881494,0.01,0.01
0.000608725065831095,0.11,0.09,0.001687438110820949,0.11,0.1
0.6687027215957642,0.52,0.42,0.10533306002616882,0.51,0.44
0.0075524719431996346,0.09,0.08,0.08770395070314407,0.23,0.23
0.00017571674834471196,0.02,0.01,0.0008834371692501009,0.03,0.02
0.019923023879528046,0.22,0.13,0.009954730048775673,0.12,0.1
0.010284354910254478,0.11,0.15,0.0334492027759552,0.17,0.16
0.03657545521855354,0.17,0.14,0.3117530643939972,0.19,0.22
0.00019246868032496423,0.0,0.0,0.002728126710280776,0.0,0.05
0.996034562587738,0.72,0.58,0.9063451886177063,0.62,0.34
0.0004630458715837449,0.02,0.07,0.0003255894407629967,0.15,0.07
0.00819164328277111,0.11,0.14,0.000850160897243768,0.07,0.08
0.00947794783860445,0.24,0.15,0.029958952218294144,0.26,0.15
0.12431296706199646,0.47,0.45,0.10600529611110687,0.47,0.44
0.0027634361758828163,0.14,0.22,0.006459467578679323,0.24,0.21
0.1540137380361557,0.24,0.22,0.02482854761183262,0.11,0.23
0.001035649562254548,0.07,0.24,0.003553177462890744,0.04,0.04
0.003294045338407159,0.09,0.1,0.0010268784826621413,0.14,0.16
0.010137634351849556,0.1,0.14,0.0016613526968285441,0.2,0.19
0.008153506554663181,0.14,0.13,0.010824604891240597,0.13,0.12
0.006026660092175007,0.09,0.15,0.01952289417386055,0.28,0.2
0.3112186789512634,0.57,0.52,0.031165190041065216,0.38,0.24
0.052003126591444016,0.14,0.07,0.0029863861855119467,0.05,0.1
0.0028650653548538685,0.06,0.02,0.005456122104078531,0.28,0.29
0.01273644994944334,0.06,0.0,0.016419904306530952,0.11,0.04
0.00028587912674993277,0.03,0.09,0.0020486251451075077,0.1,0.02
0.3068239986896515,0.4,0.37,0.04720195382833481,0.38,0.33
6.928668881300837e-05,0.0,0.02,0.0004975856863893569,0.02,0.01
